sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
3104718,0.2947,0.3352,0.0,0.3352,0.2921,0.0343,0.0438,0.0,0.446,0.0,0.446,0.554,0.0,0.0,0.5773,0.4227
3104719,0.2905,0.3298,0.0,0.3298,0.3002,0.0344,0.0451,0.0,0.4359,0.0,0.4359,0.5641,0.0,0.0,0.5816,0.4184
3104720,0.2895,0.3272,0.0,0.3272,0.3015,0.0354,0.0463,0.0,0.4336,0.0,0.4336,0.5664,0.0,0.0,0.583,0.417
3104721,0.2915,0.3287,0.0,0.3287,0.3017,0.034,0.0441,0.0,0.4322,0.0,0.4322,0.5678,0.0,0.0,0.583,0.417
3104722,0.2918,0.3327,0.0,0.3327,0.299,0.0332,0.0434,0.0,0.438,0.0,0.438,0.562,0.0,0.0,0.5801,0.4199
3104723,0.2923,0.3339,0.0,0.3339,0.2941,0.0345,0.0451,0.0,0.4433,0.0,0.4433,0.5567,0.0,0.0,0.5778,0.4222
3104724,0.2864,0.3276,0.0,0.3276,0.307,0.0341,0.0449,0.0,0.4298,0.0,0.4298,0.5702,0.0,0.0,0.5835,0.4165
3104725,0.2881,0.3349,0.0,0.3349,0.2954,0.0351,0.0465,0.0,0.4441,0.0,0.4441,0.5559,0.0,0.0,0.5754,0.4246
3104802,0.2913,0.316,0.0,0.316,0.3052,0.0379,0.0496,0.0,0.4243,0.0,0.4243,0.5757,0.0,0.0,0.5897,0.4103
3104803,0.292,0.3196,0.0,0.3196,0.3023,0.0378,0.0483,0.0,0.4283,0.0,0.4283,0.5717,0.0,0.0,0.5869,0.4131
3104804,0.2914,0.3217,0.0,0.3217,0.3014,0.0379,0.0477,0.0,0.43,0.0,0.43,0.57,0.0,0.0,0.5858,0.4142
3104805,0.292,0.3238,0.0,0.3238,0.2968,0.0388,0.0487,0.0,0.4357,0.0,0.4357,0.5643,0.0,0.0,0.5831,0.4169
3104806,0.2914,0.3152,0.0,0.3152,0.3022,0.0395,0.0516,0.0,0.429,0.0,0.429,0.571,0.0,0.0,0.5898,0.4102
3104807,0.2945,0.3306,0.0,0.3306,0.2941,0.0356,0.0452,0.0,0.4342,0.0,0.4342,0.5658,0.0,0.0,0.5814,0.4186
3104808,0.2952,0.3287,0.0,0.3287,0.2925,0.0369,0.0467,0.0,0.4372,0.0,0.4372,0.5628,0.0,0.0,0.582,0.418
3104809,0.2951,0.3281,0.0,0.3281,0.2943,0.0361,0.0464,0.0,0.4349,0.0,0.4349,0.5651,0.0,0.0,0.5827,0.4173
3104810,0.2927,0.3189,0.0,0.3189,0.3023,0.0376,0.0485,0.0,0.4239,0.0,0.4239,0.5761,0.0,0.0,0.5891,0.4109
3104811,0.2954,0.3282,0.0,0.3282,0.2939,0.0363,0.0463,0.0,0.4376,0.0,0.4376,0.5624,0.0,0.0,0.5819,0.4181
